timestamp,open,high,low,close,volume
2025-04-04,6.7250,6.7250,6.3810,6.3880,0
2025-04-03,6.8160,6.8690,6.7720,6.7860,600
2025-04-02,6.9510,6.9560,6.9180,6.9470,17
2025-04-01,6.9660,6.9950,6.9460,6.9590,17289
2025-03-31,6.9390,6.9420,6.8890,6.9150,22785
2025-03-28,7.0320,7.0600,7.0030,7.0090,143
2025-03-27,7.0320,7.0600,7.0300,7.0510,0
2025-03-26,7.1390,7.1390,7.0600,7.0600,12506
2025-03-25,7.1080,7.1530,7.1020,7.1240,0
2025-03-24,7.1140,7.1290,7.0670,7.0690,358
2025-03-21,7.1000,7.1000,7.0760,7.0810,5750
2025-03-20,7.1650,7.1650,7.1060,7.1080,6726
2025-03-19,7.1130,7.1540,7.1080,7.1410,1800
2025-03-18,7.1200,7.1480,7.1180,7.1220,1450
2025-03-17,7.0560,7.1180,7.0480,7.1180,2840
2025-03-14,6.9750,7.0400,6.9640,7.0360,3539
2025-03-13,6.9620,7.0140,6.9400,6.9530,502
2025-03-12,6.9710,7.0140,6.9640,6.9790,2900
2025-03-11,7.0390,7.0430,6.9080,6.9590,10337
2025-03-10,7.1700,7.1700,7.0050,7.0050,4801
2025-03-07,7.1390,7.1870,7.1140,7.1870,1968
2025-03-06,7.2870,7.2870,7.1190,7.1380,126903
2025-03-05,7.2180,7.2400,7.1800,7.1800,1150
2025-03-04,7.2310,7.2310,7.1420,7.2120,0
2025-03-03,7.2250,7.3150,7.2250,7.2650,0
2025-02-28,7.1610,7.2450,7.1610,7.1990,15000
2025-02-27,7.2280,7.2600,7.1990,7.2010,14621
2025-02-26,7.2400,7.2940,7.2390,7.2390,0
2025-02-25,7.2130,7.2450,7.2070,7.2090,10807
2025-02-24,7.2070,7.2340,7.1920,7.2040,10803
2025-02-21,7.1960,7.2290,7.1930,7.1980,0
2025-02-20,7.2010,7.2120,7.1710,7.1710,0
2025-02-19,7.2300,7.2440,7.1700,7.1700,42000
2025-02-18,7.2210,7.2500,7.2140,7.2380,0
2025-02-17,7.1880,7.2220,7.1880,7.2140,0
2025-02-14,7.1880,7.2100,7.1750,7.1780,0
2025-02-13,7.1530,7.2020,7.1410,7.1930,0
2025-02-12,7.1260,7.1410,7.0980,7.1390,0
2025-02-11,7.1070,7.1230,7.1000,7.1180,0
2025-02-10,7.0850,7.1110,7.0850,7.1020,0
2025-02-07,7.0990,7.0990,7.0590,7.0690,0
2025-02-06,7.0430,7.0990,7.0430,7.0870,15708
2025-02-05,6.9850,7.0190,6.9750,7.0190,0
2025-02-04,6.9490,6.9840,6.9300,6.9700,12502
2025-02-03,6.9410,6.9700,6.9330,6.9520,16430
2025-01-31,7.0390,7.0540,7.0110,7.0110,15246
2025-01-30,6.9920,7.0370,6.9920,7.0370,16488
2025-01-29,6.9640,6.9830,6.9510,6.9600,15774
2025-01-28,6.9290,6.9620,6.9220,6.9300,0
2025-01-27,6.8700,6.9190,6.8640,6.9140,19848
2025-01-24,6.9410,6.9470,6.9020,6.9020,10
2025-01-23,6.8890,6.9160,6.8830,6.9110,78
2025-01-22,6.8960,6.9130,6.8760,6.8770,13000
2025-01-21,6.8450,6.8630,6.8340,6.8610,15000
2025-01-20,6.8280,6.8450,6.8210,6.8230,19442
2025-01-17,6.7950,6.8390,6.7950,6.8210,0
2025-01-16,6.7670,6.7920,6.7600,6.7880,0
2025-01-15,6.6640,6.7290,6.6620,6.7240,17317
2025-01-14,6.6870,6.6870,6.6240,6.6340,0
2025-01-13,6.6370,6.6500,6.6230,6.6460,15000
2025-01-10,6.7390,6.7390,6.6770,6.7010,30415
2025-01-09,6.7100,6.7460,6.7100,6.7380,0
2025-01-08,6.7090,6.7600,6.6970,6.7070,15972
2025-01-07,6.6780,6.7390,6.6780,6.7310,30000
2025-01-06,6.6660,6.7160,6.6550,6.6940,1500
2025-01-03,6.6710,6.6710,6.6410,6.6410,15000
2025-01-02,6.6630,6.6870,6.6170,6.6360,3232
2024-12-30,6.6060,6.6260,6.6060,6.6100,300
2024-12-27,6.6010,6.6230,6.5920,6.5920,0
2024-12-23,6.5370,6.5870,6.5370,6.5830,906
2024-12-20,6.5760,6.5760,6.5000,6.5670,78
2024-12-19,6.6510,6.6630,6.6060,6.6260,3000
2024-12-18,6.7240,6.7420,6.7180,6.7180,50
2024-12-17,6.7070,6.7340,6.7070,6.7320,7596
2024-12-16,6.7460,6.7480,6.7310,6.7410,550
2024-12-13,6.7870,6.7890,6.7430,6.7450,904
2024-12-12,6.7940,6.8060,6.7680,6.7680,0
2024-12-11,6.8280,6.8580,6.8280,6.8560,43000
2024-12-10,6.8420,6.8730,6.8200,6.8200,0
2024-12-09,6.8850,6.8920,6.8640,6.8640,0
2024-12-06,6.8300,6.8820,6.8300,6.8540,12002
2024-12-05,6.8160,6.8580,6.8160,6.8450,2020
2024-12-04,6.7900,6.8370,6.7900,6.8000,0
2024-12-03,6.8080,6.8210,6.7890,6.7970,15122
2024-12-02,6.7290,6.7890,6.7290,6.7760,83874
2024-11-29,6.6820,6.6820,6.6820,6.6820,0
2024-11-28,6.6820,6.6820,6.6820,6.6820,0
2024-11-27,6.6820,6.6820,6.6820,6.6820,0
2024-11-26,6.7020,6.7020,6.6740,6.6820,20
2024-11-25,6.6120,6.6120,6.6120,6.6120,0
2024-11-22,6.6120,6.6120,6.6120,6.6120,0
2024-11-21,6.6120,6.6120,6.6120,6.6120,0
2024-11-20,6.6120,6.6120,6.6120,6.6120,0
2024-11-19,6.6120,6.6120,6.6120,6.6120,0
2024-11-18,6.6120,6.6120,6.6120,6.6120,0
2024-11-15,6.6300,6.6690,6.6090,6.6120,0
2024-11-14,6.5960,6.6810,6.5960,6.6680,454
2024-11-13,6.6040,6.6240,6.5710,6.6100,18670
2024-11-12,6.6720,6.6860,6.5820,6.5900,16504
2024-11-11,6.7370,6.7530,6.7200,6.7200,507
2024-11-08,6.7080,6.7120,6.6580,6.6620,2000
2024-11-07,6.6880,6.7110,6.6880,6.7010,12
2024-11-06,6.7650,6.8340,6.6490,6.6660,0
2024-11-05,6.7080,6.7300,6.6940,6.7090,1002
2024-11-04,6.7350,6.7530,6.7000,6.7040,27752
2024-11-01,6.6670,6.7570,6.6670,6.7200,6526
2024-10-31,6.7170,6.7170,6.6520,6.6610,33880
2024-10-30,6.8110,6.8140,6.7560,6.7560,3006
2024-10-29,6.8860,6.9060,6.8360,6.8400,1500
2024-10-28,6.8770,6.8930,6.8470,6.8920,2070
2024-10-25,6.8450,6.8630,6.8250,6.8250,14118
2024-10-24,6.8810,6.8940,6.8370,6.8460,16000
2024-10-23,6.8900,6.8900,6.8360,6.8360,0
2024-10-22,6.8910,6.8940,6.8350,6.8720,19106
2024-10-21,6.9460,6.9520,6.8870,6.9100,100
2024-10-18,6.9070,6.9460,6.9070,6.9410,6214
2024-10-17,6.8700,6.9470,6.8700,6.9230,139
2024-10-16,6.8640,6.8880,6.8590,6.8740,0
2024-10-15,6.9730,6.9730,6.8730,6.8730,534
2024-10-14,6.9070,6.9610,6.9070,6.9610,15450
2024-10-11,6.8780,6.9090,6.8660,6.9070,0
2024-10-10,6.8910,6.8910,6.8700,6.8780,0
2024-10-09,6.8440,6.8790,6.8400,6.8790,0
2024-10-08,6.8100,6.8440,6.8060,6.8260,0
2024-10-07,6.8560,6.8810,6.8430,6.8550,0
2024-10-04,6.8340,6.8690,6.8290,6.8690,686
2024-10-03,6.8560,6.8580,6.8080,6.8080,1768
2024-10-02,6.9060,6.9130,6.8590,6.8620,20000
2024-10-01,6.9200,6.9490,6.8600,6.8600,22932
2024-09-30,6.9810,6.9810,6.9080,6.9080,12564
2024-09-27,6.9670,7.0000,6.9650,6.9650,17228
2024-09-26,6.9360,6.9600,6.9360,6.9520,778
2024-09-25,6.8660,6.8830,6.8440,6.8440,0
2024-09-24,6.8750,6.8900,6.8580,6.8640,0
2024-09-23,6.8030,6.8310,6.8030,6.8220,132
2024-09-20,6.8790,6.8790,6.7860,6.7950,0
2024-09-19,6.8730,6.9060,6.8720,6.8950,8396
2024-09-18,6.8400,6.8400,6.7930,6.8050,13100
2024-09-17,6.8610,6.8770,6.8080,6.8160,98
2024-09-16,6.8280,6.8390,6.8100,6.8240,15000
2024-09-13,6.8210,6.8400,6.8070,6.8170,0
2024-09-12,6.8060,6.8090,6.7660,6.7930,9324
2024-09-11,6.7440,6.7660,6.7120,6.7540,18000
2024-09-10,6.7730,6.7780,6.6880,6.7100,20000
2024-09-09,6.7530,6.7710,6.7440,6.7680,1976
2024-09-06,6.7370,6.7910,6.6900,6.6930,1579
2024-09-05,6.8100,6.8100,6.7550,6.7570,0
2024-09-04,6.7870,6.8220,6.7810,6.7870,14
2024-09-03,6.9400,6.9490,6.8520,6.8520,3714
2024-09-02,6.9070,6.9410,6.9070,6.9270,245
2024-08-30,6.9440,6.9560,6.9140,6.9140,1558
2024-08-29,6.8940,6.9350,6.8940,6.9270,0
2024-08-28,6.8620,6.8870,6.8580,6.8590,0
2024-08-27,6.8320,6.8540,6.8310,6.8400,0
2024-08-26,6.8350,6.8460,6.8210,6.8260,1580
2024-08-23,6.8230,6.8450,6.8050,6.8150,24802
2024-08-22,6.7950,6.8210,6.7840,6.7890,98912
2024-08-21,6.7640,6.7870,6.7640,6.7670,3064
2024-08-20,6.7960,6.8010,6.7270,6.7270,4624
2024-08-19,6.7400,6.7870,6.7400,6.7690,15000
2024-08-16,6.7360,6.7540,6.7260,6.7300,6
2024-08-15,6.6690,6.7350,6.6520,6.7290,15415
2024-08-14,6.6350,6.6350,6.6180,6.6230,0
2024-08-13,6.5860,6.6060,6.5540,6.5960,0
2024-08-12,6.5870,6.5930,6.5550,6.5590,21975
2024-08-09,6.5370,6.5940,6.5360,6.5800,10
2024-08-08,6.4670,6.5310,6.4560,6.5290,0
2024-08-07,6.4540,6.5300,6.4540,6.4780,540
2024-08-06,6.4520,6.4520,6.3770,6.4460,857
2024-08-05,6.3440,6.4180,6.3250,6.3950,4510
2024-08-02,6.6320,6.6390,6.5390,6.5470,30012
2024-08-01,6.7990,6.7990,6.6750,6.6750,21162
2024-07-31,6.8130,6.8390,6.8060,6.8070,0
2024-07-30,6.7560,6.7830,6.7410,6.7430,0
2024-07-29,6.7650,6.7840,6.7190,6.7350,188
2024-07-26,6.7100,6.7610,6.7100,6.7610,20023
2024-07-25,6.6670,6.7120,6.6350,6.7010,0
2024-07-24,6.7280,6.7490,6.7130,6.7130,0
2024-07-23,6.7560,6.8060,6.7460,6.7460,0
2024-07-22,6.7110,6.7820,6.7110,6.7660,0
2024-07-19,6.7110,6.7200,6.6790,6.6870,0
2024-07-18,6.7590,6.8010,6.7210,6.7360,35300
2024-07-17,6.7870,6.7880,6.7530,6.7530,0
2024-07-16,6.7880,6.8140,6.7820,6.8000,842
2024-07-15,6.8740,6.8950,6.8000,6.8000,618
2024-07-12,6.8510,6.9000,6.8510,6.8830,0
2024-07-11,6.8060,6.8380,6.8060,6.8130,0
2024-07-10,6.7240,6.7960,6.7240,6.7920,20168
2024-07-09,6.7720,6.7940,6.7180,6.7320,0
2024-07-08,6.7620,6.8330,6.7620,6.7740,22022
2024-07-05,6.8340,6.8370,6.7750,6.7800,0
